r, v_axial, v_tangential, inflowangle, alpha, Faxial, Ftan, Gammas, v_rot_norm, v_rot_a, v_rot_t, u, v, w, Cl, Cd,  misc
4.988636363636363424e-01,-2.818059878259522755e+00,2.052447752185065966e+01,1.364492169786798714e-01,4.751803191117294212e+00,4.609361256124024919e-01,6.938043732882909209e-02,8.978745194888394510e-01,2.089635113524120058e+01,0.000000000000000000e+00,2.089635113524120058e+01,2.135113363385961194e-01,-3.061318340809695560e-01,-2.818059878259522755e+00,9.997148116681207064e-01,1.294698351022902441e-02,0.000000000000000000e+00
5.193181818181817899e-01,-2.899795079371193296e+00,2.138139135707499960e+01,1.347999128060470564e-01,4.718394382598283698e+00,4.946782242109139527e-01,7.362658718061075580e-02,9.249633828997483320e-01,2.175314913167478181e+01,0.000000000000000000e+00,2.175314913167477826e+01,2.688537363783207734e-01,-2.740461254063784047e-01,-2.899795079371193296e+00,9.966612465694830725e-01,1.291023382085811251e-02,0.000000000000000000e+00
5.397727272727272929e-01,-2.978697935993878332e+00,2.223855359395117048e+01,1.331504732263597834e-01,4.684993332332011207e+00,5.291617292740738998e-01,7.786860811488405254e-02,9.512842364635269998e-01,2.260994712810835949e+01,0.000000000000000000e+00,2.260994712810835949e+01,3.274579799122071533e-01,-2.397903609912713507e-01,-2.978697935993878332e+00,9.936083905751458278e-01,1.287349266556521259e-02,0.000000000000000000e+00
5.602272727272727959e-01,-3.054723611257021076e+00,2.309590912012585306e+01,1.314992958747621399e-01,4.651691849061960760e+00,5.643431298727745737e-01,8.209556736259314424e-02,9.768486525371273821e-01,2.346674512454194428e+01,0.000000000000000000e+00,2.346674512454194428e+01,3.893733112909676386e-01,-2.033997478605699682e-01,-3.054723611257021076e+00,9.905646350042631720e-01,1.283686103396815791e-02,0.000000000000000000e+00
5.806818181818181879e-01,-3.127825747586667759e+00,2.395340470697357915e+01,1.298449187282752215e-01,4.618573700534371440e+00,6.001800130495926755e-01,8.629683689817745085e-02,1.001668578833748935e+00,2.432354312097552196e+01,0.000000000000000000e+00,2.432354312097551841e+01,4.546542294529214434e-01,-1.649042841600389109e-01,-3.127825747586667759e+00,9.875376362288414978e-01,1.280043107058780917e-02,0.000000000000000000e+00
6.011363636363635798e-01,-3.197958928970947134e+00,2.481098570210978949e+01,1.281861109597212667e-01,4.585709407951839012e+00,6.366305547670271237e-01,9.046208723374019045e-02,1.025755564963030331e+00,2.518034111740909964e+01,0.000000000000000000e+00,2.518034111740909964e+01,5.233610372884740514e-01,-1.243322611375426157e-01,-3.197958928970947134e+00,9.845338398867981011e-01,1.276428034874702369e-02,0.000000000000000000e+00
6.215909090909090828e-01,-3.265084022009443032e+00,2.566859212900122955e+01,1.265220577696554716e-01,4.553145655883703569e+00,6.736524975735145304e-01,9.458130225624741816e-02,1.049119390189968026e+00,2.603713911384268087e+01,0.000000000000000000e+00,2.603713911384268442e+01,5.955595261881307945e-01,-8.171494905131390651e-02,-3.265084022009443032e+00,9.815575129477704941e-01,1.272846022147207379e-02,0.000000000000000000e+00
6.420454545454545858e-01,-3.329181994348785700e+00,2.652615336172966920e+01,1.248528296414413014e-01,4.520878405930712773e+00,7.112007143874540249e-01,9.864486092214994062e-02,1.071764909474705263e+00,2.689393711027625855e+01,0.000000000000000000e+00,2.689393711027625855e+01,6.713199783580652280e-01,-3.709332223648598159e-02,-3.329181994348785700e+00,9.786082863020671985e-01,1.269296624652378400e-02,0.000000000000000000e+00
6.624999999999999778e-01,-3.389916431551094789e+00,2.738358007094729274e+01,1.231671396140573554e-01,4.489554353322919411e+00,7.492158511296813650e-01,1.026363239045651604e-01,1.093677042009472133e+00,2.775073510670983978e+01,0.000000000000000000e+00,2.775073510670983623e+01,7.507162156118477592e-01,9.472091704849571261e-03,-3.389916431551094789e+00,9.756700592376398307e-01,1.266206130852541925e-02,0.000000000000000000e+00
6.829545454545453698e-01,-3.446944614494066528e+00,2.824075125874314551e+01,1.214549469849986740e-01,4.459748787937204639e+00,7.876379462947283860e-01,1.065390225627426829e-01,1.114843186323979829e+00,2.860753310314341391e+01,0.000000000000000000e+00,2.860753310314341036e+01,8.338266149376554193e-01,5.788682739500815300e-02,-3.446944614494066528e+00,9.727312304906083895e-01,1.263940907883227653e-02,0.000000000000000000e+00
7.034090909090908728e-01,-3.500845677090588026e+00,2.909749235071483753e+01,1.197387952700168651e-01,4.430170061465613429e+00,8.264355260906206535e-01,1.103564008581671557e-01,1.135292590404294533e+00,2.946433109957699514e+01,0.000000000000000000e+00,2.946433109957699159e+01,9.207416113646873512e-01,1.080015163659887450e-01,-3.500845677090588026e+00,9.698147680605094800e-01,1.261692924671386704e-02,0.000000000000000000e+00
7.238636363636363757e-01,-3.551610490507705720e+00,2.995353619401146972e+01,1.180196368245047117e-01,4.400763607963545709e+00,8.655477102297650660e-01,1.140789643495346284e-01,1.155016668807110847e+00,3.032112909601057638e+01,0.000000000000000000e+00,3.032112909601057638e+01,1.011587564384657689e+00,1.595806307636030708e-01,-3.551610490507705720e+00,9.669152917452056295e-01,1.259458034205229553e-02,0.000000000000000000e+00
7.443181818181817677e-01,-3.599291062064407853e+00,3.080844961391639103e+01,1.163008391889151505e-01,4.371336481575705868e+00,9.048899818335554013e-01,1.176970071914931193e-01,1.173984107113769770e+00,3.117792709244415761e+01,0.000000000000000000e+00,3.117792709244415761e+01,1.106587919916921514e+00,2.122529900710051765e-01,-3.599291062064407853e+00,9.640137770833645536e-01,1.257221572599753756e-02,0.000000000000000000e+00
7.647727272727272707e-01,-3.643975948176747082e+00,3.166148600419079884e+01,1.145875818950641556e-01,4.341591916989186117e+00,9.443450169134881556e-01,1.211995434108542047e-01,1.192138313395716187e+00,3.203472508887774239e+01,0.000000000000000000e+00,3.203472508887774239e+01,1.206207875671834628e+00,2.654250696855834368e-01,-3.643975948176747082e+00,9.610809630151337934e-01,1.254960985691178262e-02,0.000000000000000000e+00
