r, v_axial, v_tangential, inflowangle, alpha, Faxial, Ftan, Gammas, v_rot_norm, v_rot_a, v_rot_t, u, v, w,  misc
7.336734693877551283e-01,-4.159149001534924395e+00,3.034749842588620083e+01,1.362022729739652549e-01,3.300351265169703119e+00,7.035948720369586962e-01,1.064506735859013647e-01,1.032401595182214527e+00,3.073204242083076920e+01,0.000000000000000000e+00,3.073204242083076565e+01,9.938527918779750392e-01,1.297680189326101963e-01,-4.159149001534924395e+00,0.000000000000000000e+00
7.520408163265306367e-01,-4.191038476217760156e+00,3.111759772600938589e+01,1.338782429593968482e-01,3.318925043132866293e+00,7.355036650760300443e-01,1.095115388974876730e-01,1.052475097509917079e+00,3.150141205028132774e+01,0.000000000000000000e+00,3.150141205028132774e+01,1.032887452267618578e+00,1.531472417348188064e-01,-4.191038476217760156e+00,0.000000000000000000e+00
7.704081632653061451e-01,-4.212458989986956226e+00,3.189694042157872644e+01,1.313048249041327831e-01,3.351787703288927389e+00,7.696536271304637022e-01,1.125376417910795290e-01,1.074387439875834183e+00,3.227078167973188982e+01,0.000000000000000000e+00,3.227078167973188982e+01,1.041513975800707037e+00,1.696436722354605908e-01,-4.212458989986956226e+00,0.000000000000000000e+00
7.887755102040816535e-01,-4.220407687201118918e+00,3.269454623382661396e+01,1.283760738658397127e-01,3.405009443694345883e+00,8.072551987752933922e-01,1.155634517433873493e-01,1.099330262530317182e+00,3.304015130918245546e+01,0.000000000000000000e+00,3.304015130918245546e+01,1.000844756178715045e+00,1.787676228168218473e-01,-4.220407687201118918e+00,0.000000000000000000e+00
8.071428571428571619e-01,-4.210547858593836068e+00,3.352715066626792861e+01,1.249321464088024164e-01,3.487748618598470962e+00,8.503754651008470500e-01,1.186551144785720491e-01,1.129223111489582987e+00,3.380952093863301400e+01,0.000000000000000000e+00,3.380952093863300689e+01,8.810616385453139410e-01,1.826280686645331275e-01,-4.210547858593836068e+00,0.000000000000000000e+00
8.255102040816326703e-01,-4.174995998372526884e+00,3.442577521495569215e+01,1.206859258354788800e-01,3.616455802998196134e+00,9.025291224533049661e-01,1.219150254410132223e-01,1.167107906298472608e+00,3.457889056808357253e+01,0.000000000000000000e+00,3.457889056808357964e+01,6.349541204655977378e-01,1.897885516829749541e-01,-4.174995998372526884e+00,0.000000000000000000e+00
8.438775510204081787e-01,-4.106640759472925950e+00,3.544761525685251513e+01,1.153368123884029595e-01,3.808354094318990413e+00,9.698234268099962252e-01,1.255595061527035872e-01,1.217863369299085896e+00,3.534826019753413817e+01,0.000000000000000000e+00,3.534826019753413817e+01,1.884723510726947493e-01,2.235399031122544955e-01,-4.106640759472925950e+00,0.000000000000000000e+00
8.622448979591836871e-01,-3.998476482660880293e+00,3.669665021347802991e+01,1.085320997076870131e-01,4.083652078389833129e+00,1.062054565025676078e+00,1.299312112961813481e-01,1.288140180708183813e+00,3.611762982698469671e+01,0.000000000000000000e+00,3.611762982698469671e+01,-5.705465410862782250e-01,3.391899529350450582e-01,-3.998476482660880293e+00,0.000000000000000000e+00
8.806122448979591955e-01,-3.865371159115925437e+00,3.835774516311398941e+01,1.004325493891469467e-01,4.433138794262686311e+00,1.192380251253562173e+00,1.358466487873718764e-01,1.383403438292072352e+00,3.688699945643526235e+01,0.000000000000000000e+00,3.688699945643526235e+01,-1.796623281806802419e+00,6.609899239373959734e-01,-3.865371159115925437e+00,0.000000000000000000e+00
8.989795918367347038e-01,-3.871210697386441524e+00,4.074724336462016794e+01,9.472115952859869181e-02,4.645793995092580175e+00,1.361176220669102266e+00,1.471406928340919240e-01,1.486512792200324506e+00,3.765636908588582088e+01,0.000000000000000000e+00,3.765636908588582088e+01,-3.625217855775647369e+00,1.476013688814017399e+00,-3.871210697386441524e+00,0.000000000000000000e+00
