theta2_rad,w4_over_w2,MA,tau4_Nm,Ax,Ay,Bx,By,Cx,Cy,Dx,Dy
2.667452023789348,0.34761931622107056,2.8767101059598312,-0.28767101059598316,10.988002186701321,2.801342732374403,10.988002186701321,2.8013427323744033,10.988801609066563,2.8029004959504324,10.988801609066568,2.8029004959504324
2.651866916100033,0.3524241924957039,2.837489653926611,-0.2837489653926611,10.772045228619199,2.71579696130015,10.772045228619199,2.715796961300149,10.772866687448026,2.7173380560327653,10.77286668744803,2.717338056032767
2.6362818084107147,0.35718000446216536,2.79970879530555,-0.27997087953055505,10.563313563954393,2.6337136699011783,10.563313563954397,2.633713669901177,10.564156735781802,2.635237790796994,10.5641567357818,2.6352377907969924
2.620696700721399,0.3618861454945943,2.763300039113925,-0.2763300039113925,10.361509112275968,2.554932891452479,10.361509112275973,2.5549328914524794,10.36237367087979,2.5564397418610594,10.362373670879796,2.556439741861061
2.6051115930320807,0.36654203050545675,2.728200088325513,-0.2728200088325513,10.166351956786274,2.479304077424903,10.166351956786276,2.4793040774248998,10.167237573410748,2.480793368956813,10.167237573410745,2.4807933689568116
2.5895264853427635,0.37114709261487633,2.6943495446902443,-0.26943495446902443,9.977579042070756,2.4066854258466304,9.977579042070754,2.406685425846631,9.978485385646781,2.408156878291687,9.978485385646785,2.408156878291687
2.573941377653447,0.3757007798199652,2.6616926386982676,-0.26616926386982676,9.79494298485316,2.3369432674066495,9.79494298485316,2.33694326740665,9.795869722215441,2.338396608651883,9.795869722215437,2.338396608651882
2.5583562699641313,0.3802025592136715,2.630176930076912,-0.26301769300769123,9.61821076582827,2.2699514452092835,9.618210765828268,2.269951445209282,9.619157561919947,2.271386411141872,9.619157561919948,2.2713864111418722
2.5427711622748137,0.38465191765091333,2.599753060135629,-0.25997530601356295,9.447162649242843,2.2055907801381736,9.447162649242841,2.205590780138171,9.448129167311611,2.2070071145415735,9.448129167311613,2.207007114541573
2.5271860545854956,0.389048357529731,2.570374557932892,-0.25703745579328924,9.281591335902045,2.143748618756632,9.281591335902046,2.1437486187566335,9.282577237693829,2.145146073209313,9.28257723769383,2.1451460732093137
2.5116009468961797,0.39339139901173326,2.5419976199585745,-0.2541997619958575,9.121301008837902,2.0843183715541986,9.1213010088379,2.084318371554198,9.12230595478003,2.0856967053190383,9.122305954780028,2.085696705319038
2.4960158392068617,0.39768057957800806,2.514580925880597,-0.25145809258805973,8.966106536654548,2.0271991102855598,8.966106536654548,2.0271991102855607,8.967130186031651,2.0285580901955855,8.967130186031651,2.0285580901955855
2.4804307315175462,0.4019154520307211,2.4880854790414064,-0.24880854790414064,8.815832785333567,1.972295208875165,8.815832785333562,1.972295208875166,8.816874796458185,1.9736346092185073,8.816874796458189,1.9736346092185075
2.464845623828228,0.40609558848991867,2.4624744231242124,-0.24624744231242124,8.670313834272736,1.919515974436651,8.670313834272735,1.9195159744366492,8.671373864642957,1.9208355768310248,8.671373864642964,1.9208355768310268
2.4492605161389123,0.41022057306605575,2.4377129419079013,-0.24377129419079016,8.529392544547658,1.8687753808638288,8.52939254454766,1.8687753808638312,8.530470251006394,1.8700749741399054,8.530470251006399,1.8700749741399063
2.433675408449594,0.4142900082992895,2.413768085079147,-0.2413768085079147,8.39291982076065,1.819991736742196,8.392919820760651,1.8199917367421976,8.394014859638794,1.8212711168132822,8.394014859638792,1.8212711168132842
2.418090300760277,0.4183035100524535,2.3906086752047675,-0.23906086752047678,8.26075421578447,1.7730874506235406,8.26075421578447,1.7730874506235401,8.261866243043016,1.7743464203609756,8.261866243043018,1.7743464203609767
2.4025051930709607,0.42226071084172645,2.3682051735446072,-0.23682051735446075,8.132761366514009,1.7279887640426885,8.132761366514009,1.7279887640426912,8.13389003787418,1.729227133143809,8.133890037874181,1.7292271331438094
2.3869200853816444,0.42616125384142833,2.346529608184636,-0.2346529608184636,8.008813691547573,1.6846255581141296,8.008813691547568,1.6846255581141303,8.009958662621337,1.6858431429773164,8.009958662621335,1.6858431429773166
2.371334977692327,0.4300047988792244,2.3255554417216406,-0.2325555441721641,7.88878984027935,1.642931107812939,7.888789840279347,1.6429311078129394,7.8899507666846285,1.6441277314021616,7.889950766684628,1.6441277314021625
2.355749870003009,0.4337910175511439,2.3052575077401185,-0.23052575077401186,7.772574429825815,1.6028419141594394,7.772574429825814,1.6028419141594363,7.773750967300868,1.6040174058747572,7.773750967300868,1.6040174058747565
2.340164762313693,0.4375195925554465,2.2856119291921098,-0.228561192919211,7.6600577085203145,1.5642975252213622,7.660057708520315,1.5642975252213633,7.661249513031953,1.5654517207691545,7.661249513031955,1.5654517207691554
2.324579654624375,0.4411902181367111,2.2665960370185068,-0.2266596037018507,7.5511352224505615,1.5272403645397565,7.551135222450562,1.527240364539754,7.552341950294838,1.5283731058014753,7.552341950294842,1.5283731058014773
2.3089945469350597,0.44480260252832693,2.2481882846814405,-0.22481882846814408,7.445707467355895,1.4916155626216607,7.445707467355894,1.4916155626216585,7.446928775248595,1.4927266975191225,7.446928775248592,1.492726697519122
2.2934094392457416,0.4483564588486644,2.230368226584496,-0.2230368226584496,7.343679804457362,1.4573708553906046,7.34367980445736,1.4573708553906068,7.344915349630337,1.4584602377626332,7.3449153496303365,1.4584602377626321
2.2778243315564257,0.4518515150930824,2.2131164035025925,-0.22131164035025927,7.244961995947142,1.4244563993731925,7.244961995947141,1.4244563993731911,7.24621143622448,1.425523888839569,7.246211436224482,1.425523888839569
2.2622392238671076,0.4552875045860105,2.1964143314438034,-0.21964143314438037,7.149468166265223,1.3928246903630788,7.149468166265223,1.392824690363077,7.150731160146317,1.393870152200597,7.150731160146323,1.3938701522005974
2.24665411617779,0.4586641693116178,2.1802444291666414,-0.21802444291666417,7.057116512961717,1.3624304285078033,7.057116512961718,1.3624304285078062,7.058392719693608,1.363453733522393,7.058392719693609,1.3634537335223942
2.231069008488474,0.46198125813745605,2.164589974995185,-0.2164589974995185,6.967829138817507,1.3332304154603714,6.967829138817508,1.3332304154603687,6.969118218463874,1.3342314398617907,6.969118218463876,1.3342314398617916
2.2154839007991582,0.4652385277026383,2.1494350541818403,-0.21494350541818405,6.8815318465285795,1.3051834469431052,6.881531846528579,1.3051834469431052,6.882833460031759,1.3061620722193938,6.882833460031757,1.3061620722193945
2.1998987931098406,0.468435738865125,2.1347645301844196,-0.21347645301844195,6.798154031791883,1.278250230821917,6.798154031791884,1.2782502308219181,6.799467841034353,1.2792063436184584,6.799467841034354,1.2792063436184582
2.1843136854205225,0.4715726571458134,2.120563999729088,-0.21205639997290882,6.717628511272353,1.252393293859499,6.717628511272353,1.2523932938594984,6.718954179132317,1.2533267858583714,6.718954179132319,1.2533267858583728
2.168728577731206,0.474649052950582,2.1068197519486356,-0.21068197519486356,6.639891368246946,1.2275768956812776,6.639891368246946,1.2275768956812796,6.641228558648469,1.228487663481444,6.641228558648469,1.2284876634814441
2.1531434700418886,0.47766469801757694,2.0935187468327467,-0.20935187468327468,6.564881877433677,1.2037669628444583,6.564881877433674,1.2037669628444578,6.566230255396926,1.204654907846454,6.566230255396928,1.204654907846454
2.137558362352573,0.480619367637658,2.080648570021644,-0.20806485700216443,6.492542334816934,1.1809310049616073,6.492542334816934,1.1809310049616064,6.493901566500576,1.1817960332512054,6.493901566500577,1.1817960332512063
2.121973254663255,0.48351283932213107,2.0681974058888835,-0.20681974058888836,6.4228179625497095,1.1590380497911816,6.42281796254971,1.1590380497911812,6.424187715290569,1.1598800720256366,6.4241877152905715,1.1598800720256364
2.1063881469739387,0.48634488702958834,2.0561540311601174,-0.20561540311601176,6.355656897513661,1.1380585982200335,6.355656897513662,1.1380585982200324,6.357036839870286,1.1388775295205782,6.357036839870287,1.1388775295205777
2.090803039284621,0.4891152867170234,2.04450776157922,-0.204450776157922,6.291009991080847,1.1179645413886918,6.2910099910808475,1.1179645413886923,6.292399792864948,1.1187603012292708,6.292399792864953,1.1187603012292702
2.075217931595304,0.49182381389734076,2.033248435198243,-0.20332484351982433,6.22883075784202,1.0987291117970823,6.22883075784202,1.098729111797086,6.230230090149415,1.0995016238966842,6.2302300901494165,1.0995016238966837
2.0596328239059876,0.4944702365339282,2.022366415842675,-0.2022366415842675,6.169075406333897,1.0803268530384074,6.169075406333896,1.0803268530384063,6.170483941581652,1.0810760452602204,6.170483941581652,1.0810760452602208
2.0440477162166713,0.49705432614288725,2.0118525227613286,-0.20118525227613288,6.111702573284672,1.0627335299589014,6.111702573284668,1.0627335299589007,6.113119985228796,1.0634593342020073,6.113119985228795,1.0634593342020071
2.0284626085273536,0.49957584380422304,2.0016980652729206,-0.20016980652729208,6.056673481836364,1.0459261283612564,6.056673481836363,1.0459261283612569,6.058099445605851,1.0466284804643646,6.058099445605851,1.0466284804643653
2.012877500838036,0.5020345472672716,1.991894791789345,-0.1991894791789345,6.003951755844208,1.0298827852400159,6.003951755844209,1.0298827852400143,6.005385947961574,1.0305616248808525,6.005385947961572,1.0305616248808531
1.99729239314872,0.5044301871759416,1.982434884792506,-0.1982434884792506,5.953503420322878,1.014582759010029,5.953503420322879,1.014582759010029,5.954945518726796,1.0152380296086942,5.954945518726796,1.0152380296086947
1.9817072854594022,0.5067625081789373,1.9733109372939268,-0.1973310937293927,5.905296828468157,1.0000063862538653,5.905296828468156,1.0000063862538642,5.906746512531411,1.0006380348765678,5.90674651253141,1.0006380348765673
1.9661221777700861,0.5090312436006883,1.964515955693388,-0.1964515955693388,5.859302696022936,0.9861350614156947,5.859302696022936,0.9861350614156937,5.8607596465749365,0.9867430386830013,5.860759646574932,0.9867430386830013
1.9505370700807685,0.5112361201042859,1.956043324552288,-0.1956043324552288,5.8154939837329,0.9729511874523125,5.815493983732901,0.9729511874523137,5.81695788307265,0.97353544744542,5.816957883072648,0.97353544744542
1.9349519623914526,0.5133768508081005,1.9478868173076207,-0.19478868173076208,5.773845965888899,0.9604381648460132,5.773845965888899,0.9604381648460122,5.7753164978049725,0.9609986650181508,5.775316497804975,0.9609986650181503
1.9193668547021348,0.5154531370621385,1.9400405742015085,-0.19400405742015087,5.734336168466743,0.9485803558407166,5.734336168466743,0.9485803558407181,5.735813018252061,0.9491170569281812,5.735813018252061,0.9491170569281807
1.9037817470128187,0.5174646693362206,1.9324990849766672,-0.19324990849766674,5.696944327924023,0.9373630541761786,5.696944327924028,0.9373630541761785,5.698427182386691,0.93787592010976,5.698427182386692,0.9378759201097603
1.8881966393235006,0.5194111230011345,1.9252571916867014,-0.19252571916867015,5.661652432554575,0.9267724720244788,5.6616524325545745,0.9267724720244793,5.663140980032217,0.9272614698438812,5.66314098003222,0.9272614698438822
1.872611531634185,0.5212921561081885,1.9183100844365304,-0.19183100844365306,5.628444737230514,0.9167957226038812,5.628444737230513,0.9167957226038795,5.6299386676053285,0.917260822373662,5.629938667605328,0.9172608223736622
