DP, DL, sigma_main, Re_min, lambda_p, pitch_small, thrust_main, thrust_small, torque_main, torque_small, moment_created, power_required, p_induced, p_profile, p_total, p_ideal, power_loading, figure_of_merit, STALL_MAIN_HIGH, STALL_MAIN_LOW, STALL_SMALL_HIGH, STALL_SMALL_LOW, main_RPM, small_RPM, disk_loading
DP30,17.1887338539247,0.09,110000.0,0.0825,69.0,60.62173729693241,5.176580634474568,5.494422709689953,0.2992775186196148,5.456595098819727,209.58804534415592,144.89532103110554,27.592945097748988,172.48826612885452,161.4008596465326,0.28924234298472484,0.770086191612231,0.0,0.0,0.0,0.0,303.59375,6718.75,17.3668484693252
DP31,17.1887338539247,0.09,110000.0,0.0825,69.0,335.8451333391687,36.77925143964964,-524.5203820043338,1.518049292533457,38.76873506177325,2066.6067522585868,31757.440722874504,13.863960812468356,31771.304683686973,2104.6111422138542,0.16251042099428195,1.0183897540805635,0.12244897959183673,0.02040816326530612,0.47126436781609193,0.0,299.21875,13000.0,96.21254355171375
DP32,19.09859317102744,0.07,90000.0,0.0675,65.0,60.56444462096947,4.847994530839327,4.8502266158968865,0.19381759728574938,4.847994530839327,233.4101102450015,153.1727073258412,33.591100063050874,186.76380738889208,169.89031832204552,0.25947652634839735,0.7278618657251748,0.0,0.0,0.0,0.0,373.59375,11500.0,19.278261474085284
DP33,19.09859317102744,0.07,90000.0,0.0675,65.0,59.565969947217205,5.157322287019321,4.901920723500432,0.20355941262554167,5.157322287019321,242.4773697079449,151.8586760980539,32.55669133008607,184.41536742813997,165.70642527625964,0.24565579055464942,0.6833892394817997,0.0,0.0,0.0,0.0,367.03125,11312.5,18.960437114325806
DP34,19.09859317102744,0.07,90000.0,0.0675,69.0,60.54977260163206,4.52814129451791,4.843694763944514,0.20290412727853369,4.52814129451791,215.13671402901792,152.81440786505573,33.600242589134105,186.41465045418983,169.82858697747267,0.28144788245424734,0.7893984424925536,0.0,0.0,0.0,0.0,373.59375,10187.5,19.273591225279908
DP35,19.09859317102744,0.07,90000.0,0.0675,69.0,59.58399450143531,5.163773454996215,4.9006561113207106,0.22596588179710247,5.163773454996215,239.58880454789642,151.75919614400448,32.554301311053926,184.3134974550584,165.78164466041858,0.24869273259186792,0.6919423675628258,0.0,0.0,0.0,0.0,367.03125,10062.5,18.966174508127484
DP36,19.09859317102744,0.07,90000.0,0.0825,65.0,60.45363875017906,4.903156232607502,4.8274890117166915,0.24668692291564898,4.903156232607502,235.72607170050154,151.975444264393,33.62863556198457,185.60407982637756,169.42429658550907,0.2564571594226861,0.7187338055705979,0.0,0.0,0.0,0.0,373.59375,9062.5,19.242990869965496
DP37,19.09859317102744,0.07,90000.0,0.0825,65.0,59.40983834888185,4.853847642729508,4.872189210640523,0.2439733567442155,4.853847642729508,228.34266967999497,150.3156487010153,32.586827641721285,182.90247634273658,165.05533922804733,0.26017843459630324,0.7228405425028968,0.0,0.0,0.0,0.0,367.03125,8968.75,18.910738883029985
DP38,19.09859317102744,0.07,90000.0,0.0825,69.0,60.451311317997266,4.777720201876411,4.825919543446284,0.26720796214601494,4.777720201876411,225.60449091834082,151.89784465023075,33.630435190293156,185.5282798405239,169.41451256490086,0.2679526062266112,0.7509359050224832,0.0,0.0,0.0,0.0,373.59375,8093.75,19.24225002529261
DP39,19.09859317102744,0.07,90000.0,0.0825,69.0,59.42530800562475,4.904264221069946,4.872163388936805,0.2722774070675956,4.904264221069946,226.3205356799173,150.31521801815808,32.585503689152304,182.90072170731037,165.11981126806032,0.2625714358049652,0.7295838655206591,0.0,0.0,0.0,0.0,367.03125,7906.25,18.91566302770712
DP40,19.09859317102744,0.07,110000.0,0.0675,65.0,60.543778600010505,4.569828235379907,4.844993478941145,0.1907828421136764,4.569828235379907,222.26339914242848,152.89195604676178,33.59813346781702,186.4900895145788,169.80336984810037,0.2723965296742964,0.763973602956053,0.0,0.0,0.0,0.0,373.59375,11187.5,19.271683275305964
DP41,19.09859317102744,0.07,110000.0,0.0675,65.0,59.5302815061503,4.90630905249761,4.897248141787051,0.20177516513368898,4.90630905249761,232.42830470240634,151.59966239110054,32.559887363584636,184.15954975468517,165.55752520525303,0.2561232014421434,0.7122950254153749,0.0,0.0,0.0,0.0,367.03125,11000.0,18.94907713071172
DP42,19.09859317102744,0.07,110000.0,0.0675,69.0,60.56952489735438,4.670471547723245,4.843436515312523,0.21527313495000894,4.670471547723245,222.6155810111738,152.80385620646052,33.59864019226541,186.40249639872593,169.91169492039796,0.27208124706380815,0.7632515844067067,0.0,0.0,0.0,0.0,373.59375,9937.5,19.27987857628315
DP43,19.09859317102744,0.07,110000.0,0.0675,69.0,59.49771588274568,4.428235911837762,4.885610915755112,0.20535425671996604,4.428235911837762,206.98223196133995,151.00458053645502,32.57087131601811,183.57545185247312,165.42169315968016,0.28745325296259555,0.799207214996974,0.0,0.0,0.0,0.0,367.03125,9687.5,18.938711170832292
DP44,19.09859317102744,0.07,110000.0,0.0825,65.0,60.48227363157743,5.074031056842967,4.827741040176289,0.26244391021968555,5.074031056842967,245.62986672207913,151.99427183243705,33.62616718371896,185.620439016156,169.54468683460956,0.2462333853725159,0.6902445907624212,0.0,0.0,0.0,0.0,373.59375,8906.25,19.252105635804295
DP45,19.09859317102744,0.07,110000.0,0.0825,65.0,43.1421648161827,3.750660866985512,3.5682015502975064,0.19409450579426277,3.750660866985512,153.71181394621132,91.35387471864004,22.769539339706686,114.12341405834673,102.13978090004215,0.28066915423481714,0.6644888136951147,0.0,0.0,0.0,0.0,314.53125,7531.25,13.732577572361453
DP46,19.09859317102744,0.07,110000.0,0.0825,69.0,60.453994214267624,4.593634253374226,4.82193157793134,0.2674956322458135,4.593634253374226,218.8443523778978,151.711516974187,33.63448562084676,185.34600259503375,169.42579089609833,0.2762419662988442,0.7741839762149124,0.0,0.0,0.0,0.0,373.59375,7843.75,19.243104017699068
